,ano,casa,visitante,gols_casa,gols_visitante,torneio,cidade,pais,neutro,vencedor,vencedor_m,total_gols
37260,2015,Mauritania,Niger,2,0,Friendly,Nouakchott,Mauritania,False,Mauritania,casa,2
37262,2015,Netherlands,Spain,2,0,Friendly,Amsterdam,Netherlands,False,Netherlands,casa,2
37263,2015,Panama,Costa Rica,2,1,Friendly,Panama City,Panama,False,Panama,casa,3
37264,2015,Peru,Venezuela,0,1,Friendly,Fort Lauderdale,United States,True,Venezuela,visitante,1
37265,2015,Portugal,Cape Verde,0,2,Friendly,Estoril,Portugal,False,Cape Verde,visitante,2
37268,2015,Slovakia,Czech Republic,1,0,Friendly,Žilina,Slovakia,False,Slovakia,casa,1
37269,2015,Sweden,Iran,3,1,Friendly,Solna,Sweden,False,Sweden,casa,4
37271,2015,Tajikistan,Syria,2,3,Friendly,Dushanbe,Tajikistan,False,Syria,visitante,5
37273,2015,United States,Mexico,2,0,Friendly,San Antonio,United States,False,United States,casa,2
37274,2015,Barbados,Saint Kitts and Nevis,1,3,Friendly,Bridgetown,Barbados,False,Saint Kitts and Nevis,visitante,4
37275,2015,Zambia,Malawi,2,0,Friendly,Lusaka,Zambia,False,Zambia,casa,2
37277,2015,Dominican Republic,Cayman Islands,6,0,Friendly,Santiago de los Caballeros,Dominican Republic,False,Dominican Republic,casa,6
37278,2015,Grenada,Dominica,1,2,Windward Islands Tournament,Vieux Fort,Saint Lucia,True,Dominica,visitante,3
37280,2015,Saint Lucia,Saint Vincent and the Grenadines,1,2,Windward Islands Tournament,Vieux Fort,Saint Lucia,False,Saint Vincent and the Grenadines,visitante,3
37282,2015,Saint Lucia,Grenada,0,2,Windward Islands Tournament,Vieux Fort,Saint Lucia,False,Grenada,visitante,2
37285,2015,Zimbabwe,Mauritius,2,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Zimbabwe,casa,2
37286,2015,Lesotho,Madagascar,1,2,COSAFA Cup,Phokeng,South Africa,True,Madagascar,visitante,3
37287,2015,Tanzania,Eswatini,0,1,COSAFA Cup,Phokeng,South Africa,True,Eswatini,visitante,1
37288,2015,Namibia,Mauritius,2,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Namibia,casa,2
37289,2015,Seychelles,Zimbabwe,0,1,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Zimbabwe,visitante,1
37290,2015,Lesotho,Eswatini,0,2,COSAFA Cup,Phokeng,South Africa,True,Eswatini,visitante,2
37291,2015,Madagascar,Tanzania,2,0,COSAFA Cup,Phokeng,South Africa,True,Madagascar,casa,2
37292,2015,Thailand,North Korea,0,1,Friendly,Bangkok,Thailand,False,North Korea,visitante,1
37293,2015,Namibia,Zimbabwe,4,1,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Namibia,casa,5
37294,2015,Seychelles,Mauritius,0,1,COSAFA Cup,Phokeng,South Africa,True,Mauritius,visitante,1
37295,2015,Lesotho,Tanzania,1,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Lesotho,casa,1
37299,2015,Thailand,Vietnam,1,0,FIFA World Cup qualification,Bangkok,Thailand,False,Thailand,casa,1
37301,2015,Ghana,Madagascar,1,2,COSAFA Cup,Phokeng,South Africa,True,Madagascar,visitante,3
37304,2015,Zambia,Ghana,3,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Zambia,casa,3
37305,2015,Botswana,Mozambique,1,2,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Mozambique,visitante,3
37306,2015,Namibia,Madagascar,3,2,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Namibia,casa,5
37307,2015,Laos,Afghanistan,0,2,Friendly,Vientiane,Laos,False,Afghanistan,visitante,2
37308,2015,Zambia,Malawi,0,1,COSAFA Cup,Phokeng,South Africa,True,Malawi,visitante,1
37309,2015,Corsica,Burkina Faso,1,0,Friendly,Bastia,France,False,Corsica,casa,1
37311,2015,Bangladesh,Singapore,1,2,Friendly,Dhaka,Bangladesh,False,Singapore,visitante,3
37313,2015,Madagascar,Botswana,2,1,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Madagascar,casa,3
37314,2015,Mexico,Guatemala,3,0,Friendly,Tuxtla Gutiérrez,Mexico,False,Mexico,casa,3
37315,2015,Namibia,Mozambique,2,0,COSAFA Cup,Moruleng-Saulspoort,South Africa,True,Namibia,casa,2
37316,2015,El Salvador,Honduras,0,2,Friendly,Washington,United States,True,Honduras,visitante,2
37321,2015,Cambodia,Myanmar,1,0,Friendly,Samut Sakhon,Thailand,True,Cambodia,casa,1
37322,2015,Curaçao,Trinidad and Tobago,1,0,Friendly,Willemstad,Curaçao,False,Curaçao,casa,1
37323,2015,Hungary,Lithuania,4,0,Friendly,Debrecen,Hungary,False,Hungary,casa,4
37325,2015,Netherlands,United States,3,4,Friendly,Amsterdam,Netherlands,False,United States,visitante,7
37326,2015,Oman,Syria,1,2,Friendly,Muscat,Oman,False,Syria,visitante,3
37327,2015,Scotland,Qatar,1,0,Friendly,Edinburgh,Scotland,False,Scotland,casa,1
37329,2015,Argentina,Bolivia,5,0,Friendly,San Juan,Argentina,False,Argentina,casa,5
37330,2015,Andorra,Equatorial Guinea,0,1,Friendly,Sant Julià de Lòria,Andorra,False,Equatorial Guinea,visitante,1
37331,2015,Burkina Faso,Cameroon,2,3,Friendly,Colombes,France,True,Cameroon,visitante,5
37332,2015,Colombia,Costa Rica,1,0,Friendly,Buenos Aires,Argentina,True,Colombia,casa,1
37333,2015,Ecuador,Panama,4,0,Friendly,Portoviejo,Ecuador,False,Ecuador,casa,4
37334,2015,Guinea,Chad,2,1,Friendly,Saint-Leu-la-Forêt,France,True,Guinea,casa,3
37336,2015,Niger,Gabon,2,1,Friendly,Niamey,Niger,False,Niger,casa,3
37339,2015,Singapore,Brunei,5,1,Friendly,Jurong West,Singapore,False,Singapore,casa,6
37340,2015,Uruguay,Guatemala,5,1,Friendly,Montevideo,Uruguay,False,Uruguay,casa,6
37341,2015,Brazil,Mexico,2,0,Friendly,São Paulo,Brazil,False,Brazil,casa,2
37342,2015,Croatia,Gibraltar,4,0,Friendly,Varaždin,Croatia,False,Croatia,casa,4
37343,2015,Ethiopia,Zambia,0,1,Friendly,Addis Ababa,Ethiopia,False,Zambia,visitante,1
37344,2015,France,Belgium,3,4,Friendly,Saint-Denis,France,False,Belgium,visitante,7
37346,2015,Kenya,South Sudan,2,0,Friendly,Kigali,Rwanda,True,Kenya,casa,2
37347,2015,Russia,Belarus,4,2,Friendly,Khimki,Russia,False,Russia,casa,6
37348,2015,Rwanda,Tanzania,2,0,Friendly,Kigali,Rwanda,False,Rwanda,casa,2
37349,2015,Serbia,Azerbaijan,4,1,Friendly,Sankt Pölten,Austria,True,Serbia,casa,5
37350,2015,Nicaragua,Suriname,1,0,FIFA World Cup qualification,Managua,Nicaragua,False,Nicaragua,casa,1
37351,2015,Denmark,Montenegro,2,1,Friendly,Viborg,Denmark,False,Denmark,casa,3
37352,2015,Egypt,Malawi,2,1,Friendly,Alexandria,Egypt,False,Egypt,casa,3
37353,2015,Ghana,Togo,1,0,Friendly,Accra,Ghana,False,Ghana,casa,1
37354,2015,Malta,Lithuania,2,0,Friendly,Attard,Malta,False,Malta,casa,2
37356,2015,Turkey,Bulgaria,4,0,Friendly,Istanbul,Turkey,False,Turkey,casa,4
37358,2015,Finland,Estonia,0,2,Friendly,Turku,Finland,False,Estonia,visitante,2
37359,2015,Georgia,Ukraine,1,2,Friendly,Linz,Austria,True,Ukraine,visitante,3
37362,2015,Brazil,Honduras,1,0,Friendly,Porto Alegre,Brazil,False,Brazil,casa,1
37364,2015,Germany,United States,1,2,Friendly,Cologne,Germany,False,United States,visitante,3
37365,2015,Switzerland,Liechtenstein,3,0,Friendly,Thun,Switzerland,False,Switzerland,casa,3
37366,2015,Antigua and Barbuda,Saint Lucia,1,3,FIFA World Cup qualification,North Sound,Antigua and Barbuda,False,Saint Lucia,visitante,4
37367,2015,Aruba,Barbados,0,2,FIFA World Cup qualification,Oranjestad,Aruba,False,Barbados,visitante,2
37369,2015,Afghanistan,Syria,0,6,FIFA World Cup qualification,Mashhad,Iran,True,Syria,visitante,6
37370,2015,Bangladesh,Kyrgyzstan,1,3,FIFA World Cup qualification,Dhaka,Bangladesh,False,Kyrgyzstan,visitante,4
37371,2015,Cambodia,Singapore,0,4,FIFA World Cup qualification,Phnom Penh,Cambodia,False,Singapore,visitante,4
37372,2015,Chile,Ecuador,2,0,Copa América,Santiago,Chile,False,Chile,casa,2
37373,2015,Dominican Republic,Belize,1,2,FIFA World Cup qualification,Santo Domingo,Dominican Republic,False,Belize,visitante,3
37374,2015,Guam,Turkmenistan,1,0,FIFA World Cup qualification,Dededo,Guam,False,Guam,casa,1
37375,2015,Hong Kong,Bhutan,7,0,FIFA World Cup qualification,Kowloon,Hong Kong,False,Hong Kong,casa,7
37376,2015,India,Oman,1,2,FIFA World Cup qualification,Bangalore,India,False,Oman,visitante,3
37377,2015,Japan,Iraq,4,0,Kirin Challenge Cup,Yokohama,Japan,False,Japan,casa,4
37378,2015,South Korea,United Arab Emirates,3,0,Friendly,Kuala Lumpur,Malaysia,True,South Korea,casa,3
37380,2015,Lebanon,Kuwait,0,1,FIFA World Cup qualification,Sidon,Lebanon,False,Kuwait,visitante,1
37381,2015,Malaysia,Timor-Leste,3,0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,False,Malaysia,casa,3
37382,2015,Maldives,Qatar,0,1,FIFA World Cup qualification,Malé,Maldives,False,Qatar,visitante,1
