,ano,casa,visitante,gols_casa,gols_visitante,torneio,cidade,pais,neutro,vencedor,vencedor_m,total_gols
1,1873,England,Scotland,4,2,Friendly,London,England,False,England,casa,6
2,1874,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,Scotland,casa,3
4,1876,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,Scotland,casa,3
5,1876,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,Scotland,casa,4
6,1877,England,Scotland,1,3,Friendly,London,England,False,Scotland,visitante,4
7,1877,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,Scotland,visitante,2
8,1878,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,Scotland,casa,9
9,1878,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,Scotland,casa,9
10,1879,England,Wales,2,1,Friendly,London,England,False,England,casa,3
11,1879,England,Scotland,5,4,Friendly,London,England,False,England,casa,9
12,1879,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Scotland,visitante,3
13,1880,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,Scotland,casa,9
14,1880,Wales,England,2,3,Friendly,Wrexham,Wales,False,England,visitante,5
15,1880,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,Scotland,casa,6
16,1881,England,Wales,0,1,Friendly,Blackburn,England,False,Wales,visitante,1
17,1881,England,Scotland,1,6,Friendly,London,England,False,Scotland,visitante,7
18,1881,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,Scotland,visitante,6
19,1882,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False,England,visitante,13
20,1882,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,Wales,casa,8
21,1882,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,Scotland,casa,6
22,1882,Wales,England,5,3,Friendly,Wrexham,Wales,False,Wales,casa,8
23,1882,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,Scotland,casa,5
24,1883,England,Wales,5,0,Friendly,London,England,False,England,casa,5
25,1883,England,Northern Ireland,7,0,Friendly,Liverpool,England,False,England,casa,7
26,1883,England,Scotland,2,3,Friendly,Sheffield,England,False,Scotland,visitante,5
27,1883,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Scotland,visitante,3
29,1884,Northern Ireland,Scotland,0,5,British Home Championship,Belfast,Ireland,False,Scotland,visitante,5
30,1884,Wales,Northern Ireland,6,0,British Home Championship,Wrexham,Wales,False,Wales,casa,6
31,1884,Northern Ireland,England,1,8,British Home Championship,Belfast,Ireland,False,England,visitante,9
32,1884,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,1
33,1884,Wales,England,0,4,British Home Championship,Wrexham,Wales,False,England,visitante,4
34,1884,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,5
35,1885,England,Northern Ireland,4,0,British Home Championship,Manchester,England,False,England,casa,4
37,1885,Scotland,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,False,Scotland,casa,10
39,1885,Wales,Scotland,1,8,British Home Championship,Wrexham,Wales,False,Scotland,visitante,9
40,1885,Northern Ireland,Wales,2,8,British Home Championship,Belfast,Ireland,False,Wales,visitante,10
41,1885,United States,Canada,0,1,Friendly,Newark,United States,False,Canada,visitante,1
42,1886,Wales,Northern Ireland,5,0,British Home Championship,Wrexham,Wales,False,Wales,casa,5
43,1886,Northern Ireland,England,1,6,British Home Championship,Belfast,Ireland,False,England,visitante,7
44,1886,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Ireland,False,Scotland,visitante,9
46,1886,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,England,visitante,4
47,1886,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,5
48,1886,United States,Canada,3,2,Friendly,Newark,United States,False,United States,casa,5
49,1887,England,Northern Ireland,7,0,British Home Championship,Sheffield,England,False,England,casa,7
50,1887,Scotland,Northern Ireland,4,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,5
51,1887,England,Wales,4,0,British Home Championship,London,England,False,England,casa,4
52,1887,Northern Ireland,Wales,4,1,British Home Championship,Belfast,Ireland,False,Northern Ireland,casa,5
53,1887,England,Scotland,2,3,British Home Championship,Blackburn,England,False,Scotland,visitante,5
54,1887,Wales,Scotland,0,2,British Home Championship,Wrexham,Wales,False,Scotland,visitante,2
55,1888,England,Wales,5,1,British Home Championship,Crewe,England,False,England,casa,6
56,1888,Wales,Northern Ireland,11,0,British Home Championship,Wrexham,Wales,False,Wales,casa,11
57,1888,Scotland,Wales,5,1,British Home Championship,Edinburgh,Scotland,False,Scotland,casa,6
58,1888,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,False,England,visitante,5
59,1888,Northern Ireland,Scotland,2,10,British Home Championship,Belfast,Ireland,False,Scotland,visitante,12
60,1888,Northern Ireland,England,1,5,British Home Championship,Belfast,Ireland,False,England,visitante,6
61,1888,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False,Scotland,casa,4
62,1889,England,Wales,4,1,British Home Championship,Stoke-on-Trent,England,False,England,casa,5
63,1889,England,Northern Ireland,6,1,British Home Championship,Liverpool,England,False,England,casa,7
64,1889,Scotland,Northern Ireland,7,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,7
65,1889,England,Scotland,2,3,British Home Championship,London,England,False,Scotland,visitante,5
67,1889,Northern Ireland,Wales,1,3,British Home Championship,Belfast,Ireland,False,Wales,visitante,4
68,1890,Wales,Northern Ireland,5,2,British Home Championship,Shrewsbury,England,True,Wales,casa,7
69,1890,Northern Ireland,England,1,9,British Home Championship,Belfast,Ireland,False,England,visitante,10
70,1890,Wales,England,1,3,British Home Championship,Wrexham,Wales,False,England,visitante,4
71,1890,Scotland,Wales,5,0,British Home Championship,Paisley,Scotland,False,Scotland,casa,5
72,1890,Northern Ireland,Scotland,1,4,British Home Championship,Belfast,Ireland,False,Scotland,visitante,5
74,1891,Northern Ireland,Wales,7,2,British Home Championship,Belfast,Ireland,False,Northern Ireland,casa,9
75,1891,England,Wales,4,1,British Home Championship,Sunderland,England,False,England,casa,5
76,1891,England,Northern Ireland,6,1,British Home Championship,Wolverhampton,England,False,England,casa,7
77,1891,Wales,Scotland,3,4,British Home Championship,Wrexham,Wales,False,Scotland,visitante,7
78,1891,Scotland,Northern Ireland,2,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,3
79,1891,England,Scotland,2,1,British Home Championship,Blackburn,England,False,England,casa,3
81,1892,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,False,England,visitante,2
82,1892,Wales,England,0,2,British Home Championship,Wrexham,Wales,False,England,visitante,2
83,1892,Northern Ireland,Scotland,2,3,British Home Championship,Belfast,Ireland,False,Scotland,visitante,5
84,1892,Scotland,Wales,6,1,British Home Championship,Edinburgh,Scotland,False,Scotland,casa,7
85,1892,Scotland,England,1,4,British Home Championship,Glasgow,Scotland,False,England,visitante,5
86,1893,England,Northern Ireland,6,1,British Home Championship,Birmingham,England,False,England,casa,7
87,1893,England,Wales,6,0,British Home Championship,Stoke-on-Trent,England,False,England,casa,6
88,1893,Wales,Scotland,0,8,British Home Championship,Wrexham,Wales,False,Scotland,visitante,8
89,1893,Scotland,Northern Ireland,6,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,7
90,1893,England,Scotland,5,2,British Home Championship,Richmond,England,False,England,casa,7
91,1894,Wales,Northern Ireland,4,1,British Home Championship,Swansea,Wales,False,Wales,casa,5
93,1894,Wales,England,1,5,British Home Championship,Wrexham,Wales,False,England,visitante,6
94,1894,Scotland,Wales,5,2,British Home Championship,Kilmarnock,Scotland,False,Scotland,casa,7
95,1894,Northern Ireland,Scotland,1,2,British Home Championship,Belfast,Ireland,False,Scotland,visitante,3
97,1895,England,Northern Ireland,9,0,British Home Championship,Derby,England,False,England,casa,9
101,1895,Scotland,Northern Ireland,3,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,4
102,1895,England,Scotland,3,0,British Home Championship,Liverpool,England,False,England,casa,3
103,1896,Wales,Northern Ireland,6,1,British Home Championship,Wrexham,Wales,False,Wales,casa,7
104,1896,Northern Ireland,England,0,2,British Home Championship,Belfast,Ireland,False,England,visitante,2
105,1896,Wales,England,1,9,British Home Championship,Cardiff,Wales,False,England,visitante,10
106,1896,Scotland,Wales,4,0,British Home Championship,Dundee,Scotland,False,Scotland,casa,4
108,1896,Scotland,England,2,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,3
109,1897,England,Northern Ireland,6,0,British Home Championship,Nottingham,England,False,England,casa,6
110,1897,Northern Ireland,Wales,4,3,British Home Championship,Belfast,Ireland,False,Northern Ireland,casa,7
112,1897,Scotland,Northern Ireland,5,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,6
113,1897,England,Wales,4,0,British Home Championship,Sheffield,England,False,England,casa,4
114,1897,England,Scotland,1,2,British Home Championship,London,England,False,Scotland,visitante,3
115,1898,Wales,Northern Ireland,0,1,British Home Championship,Llandudno,Wales,False,Northern Ireland,visitante,1
116,1898,Northern Ireland,England,2,3,British Home Championship,Belfast,Ireland,False,England,visitante,5
117,1898,Scotland,Wales,5,2,British Home Championship,Motherwell,Scotland,False,Scotland,casa,7
118,1898,Northern Ireland,Scotland,0,3,British Home Championship,Belfast,Ireland,False,Scotland,visitante,3
119,1898,Wales,England,0,3,British Home Championship,Wrexham,Wales,False,England,visitante,3
120,1898,Scotland,England,1,3,British Home Championship,Glasgow,Scotland,False,England,visitante,4
121,1899,England,Northern Ireland,13,2,British Home Championship,Sunderland,England,False,England,casa,15
122,1899,Northern Ireland,Wales,1,0,British Home Championship,Belfast,Ireland,False,Northern Ireland,casa,1
123,1899,Wales,Scotland,0,6,British Home Championship,Wrexham,Wales,False,Scotland,visitante,6
124,1899,England,Wales,4,0,British Home Championship,Bristol,England,False,England,casa,4
125,1899,Scotland,Northern Ireland,9,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,10
126,1899,England,Scotland,2,1,British Home Championship,Birmingham,England,False,England,casa,3
127,1900,Scotland,Wales,5,2,British Home Championship,Aberdeen,Scotland,False,Scotland,casa,7
128,1900,Wales,Northern Ireland,2,0,British Home Championship,Llandudno,Wales,False,Wales,casa,2
129,1900,Northern Ireland,Scotland,0,3,British Home Championship,Belfast,Ireland,False,Scotland,visitante,3
130,1900,Northern Ireland,England,0,2,British Home Championship,Dublin,Ireland,False,England,visitante,2
132,1900,Scotland,England,4,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,5
133,1901,Scotland,Northern Ireland,11,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,11
135,1901,England,Northern Ireland,3,0,British Home Championship,Southampton,England,False,England,casa,3
136,1901,England,Wales,6,0,British Home Championship,Newcastle,England,False,England,casa,6
137,1901,Northern Ireland,Wales,0,1,British Home Championship,Belfast,Ireland,False,Wales,visitante,1
139,1902,Wales,Northern Ireland,0,3,British Home Championship,Cardiff,Wales,False,Northern Ireland,visitante,3
140,1902,Northern Ireland,Scotland,1,5,British Home Championship,Belfast,Ireland,False,Scotland,visitante,6
142,1902,Scotland,Wales,5,1,British Home Championship,Greenock,Scotland,False,Scotland,casa,6
143,1902,Northern Ireland,England,0,1,British Home Championship,Belfast,Ireland,False,England,visitante,1
145,1902,Uruguay,Argentina,0,6,Friendly,Montevideo,Uruguay,False,Argentina,visitante,6
146,1902,Austria,Hungary,5,0,Friendly,Vienna,Austria,False,Austria,casa,5
147,1903,England,Northern Ireland,4,0,British Home Championship,Wolverhampton,England,False,England,casa,4
148,1903,England,Wales,2,1,British Home Championship,Portsmouth,England,False,England,casa,3
149,1903,Wales,Scotland,0,1,British Home Championship,Cardiff,Wales,False,Scotland,visitante,1
150,1903,Scotland,Northern Ireland,0,2,British Home Championship,Glasgow,Scotland,False,Northern Ireland,visitante,2
151,1903,Northern Ireland,Wales,2,0,British Home Championship,Belfast,Ireland,False,Northern Ireland,casa,2
152,1903,England,Scotland,1,2,British Home Championship,Sheffield,England,False,Scotland,visitante,3
153,1903,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,False,Hungary,casa,3
154,1903,Hungary,Austria,3,2,Friendly,Budapest,Hungary,False,Hungary,casa,5
155,1903,Argentina,Uruguay,2,3,Friendly,Buenos Aires,Argentina,False,Uruguay,visitante,5
156,1903,Austria,Hungary,4,2,Friendly,Vienna,Austria,False,Austria,casa,6
158,1904,Northern Ireland,England,1,3,British Home Championship,Belfast,Ireland,False,England,visitante,4
160,1904,Wales,Northern Ireland,0,1,British Home Championship,Bangor,Wales,False,Northern Ireland,visitante,1
162,1904,Scotland,England,0,1,British Home Championship,Glasgow,Scotland,False,England,visitante,1
164,1904,Hungary,Austria,3,0,Friendly,Budapest,Hungary,False,Hungary,casa,3
165,1904,Austria,Hungary,5,4,Friendly,Vienna,Austria,False,Austria,casa,9
166,1905,France,Switzerland,1,0,Friendly,Paris,France,False,France,casa,1
168,1905,Wales,Scotland,3,1,British Home Championship,Wrexham,Wales,False,Wales,casa,4
169,1905,Scotland,Northern Ireland,4,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,4
170,1905,England,Wales,3,1,British Home Championship,Liverpool,England,False,England,casa,4
171,1905,England,Scotland,1,0,British Home Championship,London,England,False,England,casa,1
174,1905,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False,Netherlands,visitante,5
175,1905,Belgium,France,7,0,Friendly,Brussels,Belgium,False,Belgium,casa,7
176,1905,Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands,False,Netherlands,casa,4
178,1906,Northern Ireland,England,0,5,British Home Championship,Belfast,Ireland,False,England,visitante,5
179,1906,Scotland,Wales,0,2,British Home Championship,Edinburgh,Scotland,False,Wales,visitante,2
180,1906,Northern Ireland,Scotland,0,1,British Home Championship,Dublin,Ireland,False,Scotland,visitante,1
181,1906,Wales,England,0,1,British Home Championship,Cardiff,Wales,False,England,visitante,1
184,1906,Scotland,England,2,1,British Home Championship,Glasgow,Scotland,False,Scotland,casa,3
185,1906,France,Belgium,0,5,Friendly,Saint-Cloud,France,False,Belgium,visitante,5
186,1906,Belgium,Netherlands,5,0,Friendly,Antwerp,Belgium,False,Belgium,casa,5
187,1906,Netherlands,Belgium,2,3,Friendly,Rotterdam,Netherlands,False,Belgium,visitante,5
188,1906,Uruguay,Argentina,0,2,Copa Lipton,Montevideo,Uruguay,False,Argentina,visitante,2
190,1906,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False,Argentina,casa,3
191,1906,Hungary,Austria,3,1,Friendly,Budapest,Hungary,False,Hungary,casa,4
192,1907,England,Northern Ireland,1,0,British Home Championship,Liverpool,England,False,England,casa,1
193,1907,Northern Ireland,Wales,2,3,British Home Championship,Belfast,Ireland,False,Wales,visitante,5
194,1907,Wales,Scotland,1,0,British Home Championship,Wrexham,Wales,False,Wales,casa,1
195,1907,Scotland,Northern Ireland,3,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,3
198,1907,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False,Hungary,casa,7
199,1907,Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium,False,Netherlands,visitante,4
200,1907,Belgium,France,1,2,Friendly,Brussels,Belgium,False,France,visitante,3
201,1907,Austria,Hungary,3,1,Friendly,Vienna,Austria,False,Austria,casa,4
202,1907,Netherlands,Belgium,1,2,Friendly,Haarlem,Netherlands,False,Belgium,visitante,3
203,1907,Czechoslovakia,Hungary,5,3,Friendly,Prague,Bohemia,False,Czechoslovakia,casa,8
204,1907,Hungary,Austria,4,1,Friendly,Budapest,Hungary,False,Hungary,casa,5
205,1908,Northern Ireland,England,1,3,British Home Championship,Belfast,Ireland,False,England,visitante,4
206,1908,Scotland,Wales,2,1,British Home Championship,Dundee,Scotland,False,Scotland,casa,3
207,1908,Switzerland,France,1,2,Friendly,Geneva,Switzerland,False,France,visitante,3
208,1908,Northern Ireland,Scotland,0,5,British Home Championship,Dublin,Ireland,False,Scotland,visitante,5
209,1908,Wales,England,1,7,British Home Championship,Wrexham,Wales,False,England,visitante,8
210,1908,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False,Netherlands,visitante,5
212,1908,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False,Hungary,casa,7
213,1908,Switzerland,Germany,5,3,Friendly,Basel,Switzerland,False,Switzerland,casa,8
214,1908,Wales,Northern Ireland,0,1,British Home Championship,Aberdare,Wales,False,Northern Ireland,visitante,1
215,1908,France,Belgium,1,2,Friendly,Colombes,France,False,Belgium,visitante,3
216,1908,Netherlands,Belgium,3,1,Friendly,Rotterdam,Netherlands,False,Netherlands,casa,4
217,1908,Austria,Hungary,4,0,Friendly,Vienna,Austria,False,Austria,casa,4
218,1908,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,False,Netherlands,casa,5
219,1908,Austria,England,1,6,Friendly,Vienna,Austria,False,England,visitante,7
220,1908,Austria,Germany,3,2,Friendly,Vienna,Austria,False,Austria,casa,5
221,1908,Austria,England,1,11,Friendly,Vienna,Austria,False,England,visitante,12
222,1908,Hungary,England,0,7,Friendly,Budapest,Hungary,False,England,visitante,7
223,1908,Czechoslovakia,England,0,4,Friendly,Prague,Bohemia,False,England,visitante,4
224,1908,Sweden,Norway,11,3,Friendly,Gothenburg,Sweden,False,Sweden,casa,14
226,1908,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False,Argentina,casa,3
227,1908,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Uruguay,visitante,1
228,1908,Netherlands,Sweden,5,3,Friendly,The Hague,Netherlands,False,Netherlands,casa,8
229,1908,Belgium,Sweden,2,1,Friendly,Brussels,Belgium,False,Belgium,casa,3
230,1908,Hungary,Austria,5,3,Friendly,Budapest,Hungary,False,Hungary,casa,8
231,1909,England,Northern Ireland,4,0,British Home Championship,Bradford,England,False,England,casa,4
232,1909,Wales,Scotland,3,2,British Home Championship,Wrexham,Wales,False,Wales,casa,5
233,1909,England,Wales,2,0,British Home Championship,Nottingham,England,False,England,casa,2
234,1909,Scotland,Northern Ireland,5,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,5
235,1909,Northern Ireland,Wales,2,3,British Home Championship,Belfast,Ireland,False,Wales,visitante,5
236,1909,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False,Netherlands,visitante,5
237,1909,England,Scotland,2,0,British Home Championship,London,England,False,England,casa,2
238,1909,Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany,False,Germany,casa,1
240,1909,Netherlands,Belgium,4,1,Friendly,Rotterdam,Netherlands,False,Netherlands,casa,5
241,1909,Austria,Hungary,3,4,Friendly,Vienna,Austria,False,Hungary,visitante,7
242,1909,Belgium,France,5,2,Friendly,Brussels,Belgium,False,Belgium,casa,7
243,1909,Hungary,England,2,4,Friendly,Budapest,Hungary,False,England,visitante,6
245,1909,Hungary,England,2,8,Friendly,Budapest,Hungary,False,England,visitante,10
246,1909,Austria,England,1,8,Friendly,Vienna,Austria,False,England,visitante,9
247,1909,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina,False,Argentina,casa,3
249,1909,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Argentina,casa,4
252,1910,Scotland,Wales,1,0,British Home Championship,Kilmarnock,Scotland,False,Scotland,casa,1
253,1910,Belgium,Netherlands,3,2,Friendly,Antwerp,Belgium,False,Belgium,casa,5
254,1910,Wales,England,0,1,British Home Championship,Cardiff,Wales,False,England,visitante,1
255,1910,Northern Ireland,Scotland,1,0,British Home Championship,Belfast,Ireland,False,Northern Ireland,casa,1
256,1910,Scotland,England,2,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,2
257,1910,France,Belgium,0,4,Friendly,Gentilly,France,False,Belgium,visitante,4
258,1910,Switzerland,Germany,2,3,Friendly,Basel,Switzerland,False,Germany,visitante,5
259,1910,Netherlands,Belgium,7,0,Friendly,Haarlem,Netherlands,False,Netherlands,casa,7
260,1910,Wales,Northern Ireland,4,1,British Home Championship,Wrexham,Wales,False,Wales,casa,5
261,1910,Netherlands,Germany,4,2,Friendly,Arnhem,Netherlands,False,Netherlands,casa,6
262,1910,Austria,Hungary,2,1,Friendly,Vienna,Austria,False,Austria,casa,3
263,1910,Italy,France,6,2,Friendly,Milan,Italy,False,Italy,casa,8
264,1910,Germany,Belgium,0,3,Friendly,Duisburg,Germany,False,Belgium,visitante,3
265,1910,Hungary,Italy,6,1,Friendly,Budapest,Hungary,False,Hungary,casa,7
266,1910,Argentina,Chile,3,1,Friendly,Buenos Aires,Argentina,False,Argentina,casa,4
267,1910,Chile,Uruguay,0,3,Friendly,Buenos Aires,Argentina,True,Uruguay,visitante,3
268,1910,Argentina,Chile,5,1,Friendly,Buenos Aires,Argentina,False,Argentina,casa,6
269,1910,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina,False,Argentina,casa,5
270,1910,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay,False,Uruguay,casa,4
271,1910,Chile,Argentina,0,3,Friendly,Viña del Mar,Chile,False,Argentina,visitante,3
272,1910,Norway,Sweden,0,4,Friendly,Kristiania,Norway,False,Sweden,visitante,4
273,1910,Germany,Netherlands,1,2,Friendly,Kleve,Germany,False,Netherlands,visitante,3
274,1910,Hungary,Austria,3,0,Friendly,Budapest,Hungary,False,Hungary,casa,3
276,1910,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Uruguay,visitante,8
277,1911,France,Hungary,0,3,Friendly,Maisons-Alfort,France,False,Hungary,visitante,3
278,1911,Italy,Hungary,0,1,Friendly,Milan,Italy,False,Hungary,visitante,1
279,1911,Switzerland,Hungary,2,0,Friendly,Zürich,Switzerland,False,Switzerland,casa,2
280,1911,Northern Ireland,Wales,1,2,British Home Championship,Belfast,Ireland,False,Wales,visitante,3
281,1911,England,Northern Ireland,2,1,British Home Championship,Derby,England,False,England,casa,3
283,1911,England,Wales,3,0,British Home Championship,London,England,False,England,casa,3
284,1911,Scotland,Northern Ireland,2,0,British Home Championship,Glasgow,Scotland,False,Scotland,casa,2
285,1911,Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium,False,Netherlands,visitante,6
286,1911,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany,False,Germany,casa,8
288,1911,Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands,False,Netherlands,casa,4
290,1911,Belgium,Germany,2,1,Friendly,Liège,Belgium,False,Belgium,casa,3
291,1911,Switzerland,France,5,2,Friendly,Geneva,Switzerland,False,Switzerland,casa,7
292,1911,Belgium,France,7,1,Friendly,Uccle,Belgium,False,Belgium,casa,8
293,1911,Austria,Hungary,3,1,Friendly,Vienna,Austria,False,Austria,casa,4
295,1911,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,False,Switzerland,casa,3
296,1911,Sweden,Germany,2,4,Friendly,Solna,Sweden,False,Germany,visitante,6
297,1911,Argentina,Uruguay,0,2,Copa Lipton,Buenos Aires,Argentina,False,Uruguay,visitante,2
298,1911,Sweden,Norway,4,1,Friendly,Solna,Sweden,False,Sweden,casa,5
299,1911,Uruguay,Argentina,2,3,Copa Newton,Montevideo,Uruguay,False,Argentina,visitante,5
301,1911,Germany,Austria,1,2,Friendly,Dresden,Germany,False,Austria,visitante,3
302,1911,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Argentina,casa,2
303,1911,Finland,Sweden,2,5,Friendly,Helsinki,Finland,False,Sweden,visitante,7
304,1911,Germany,Sweden,1,3,Friendly,Hamburg,Germany,False,Sweden,visitante,4
305,1911,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,False,Hungary,casa,9
306,1911,Luxembourg,France,1,4,Friendly,Luxembourg,Luxembourg,False,France,visitante,5
307,1911,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,Uruguay,casa,3
308,1911,Hungary,Austria,2,0,Friendly,Budapest,Hungary,False,Hungary,casa,2
309,1911,Germany,Hungary,1,4,Friendly,Munich,Germany,False,Hungary,visitante,5
311,1912,Northern Ireland,England,1,6,British Home Championship,Dublin,Ireland,False,England,visitante,7
312,1912,France,Catalonia,7,0,Friendly,Paris,France,False,France,casa,7
313,1912,France,Switzerland,4,1,Friendly,Saint-Ouen,France,False,France,casa,5
314,1912,Belgium,Switzerland,9,2,Friendly,Antwerp,Belgium,False,Belgium,casa,11
315,1912,Scotland,Wales,1,0,British Home Championship,Edinburgh,Scotland,False,Scotland,casa,1
316,1912,Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium,False,Netherlands,visitante,3
317,1912,Wales,England,0,2,British Home Championship,Wrexham,Wales,False,England,visitante,2
318,1912,Northern Ireland,Scotland,1,4,British Home Championship,Belfast,Ireland,False,Scotland,visitante,5
319,1912,Italy,France,3,4,Friendly,Turin,Italy,False,France,visitante,7
322,1912,Wales,Northern Ireland,2,3,British Home Championship,Cardiff,Wales,False,Northern Ireland,visitante,5
324,1912,Netherlands,Belgium,4,3,Friendly,Dordrecht,Netherlands,False,Netherlands,casa,7
326,1912,Switzerland,Germany,1,2,Friendly,St. Gallen,Switzerland,False,Germany,visitante,3
327,1912,Norway,Sweden,1,2,Friendly,Kristiania,Norway,False,Sweden,visitante,3
329,1912,Norway,Hungary,0,6,Friendly,Kristiania,Norway,False,Hungary,visitante,6
330,1912,Sweden,Finland,7,1,Friendly,Solna,Sweden,False,Sweden,casa,8
331,1912,Austria,Italy,5,1,Friendly,Stockholm,Sweden,True,Austria,casa,6
333,1912,Hungary,Austria,3,0,Friendly,Stockholm,Sweden,True,Hungary,casa,3
334,1912,Norway,Russia,2,1,Friendly,Stockholm,Sweden,True,Norway,casa,3
335,1912,Netherlands,Austria,3,1,Friendly,Stockholm,Sweden,True,Netherlands,casa,4
336,1912,Russia,Hungary,0,9,Friendly,Moscow,Russia,False,Hungary,visitante,9
337,1912,Russia,Hungary,0,12,Friendly,Moscow,Russia,False,Hungary,visitante,12
338,1912,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,False,Uruguay,casa,2
339,1912,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,False,Uruguay,casa,3
340,1912,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False,Uruguay,visitante,1
342,1912,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,False,Denmark,casa,4
343,1912,Hungary,Austria,4,0,Friendly,Budapest,Hungary,False,Hungary,casa,4
344,1912,Sweden,Norway,4,2,Friendly,Gothenburg,Sweden,False,Sweden,casa,6
345,1912,Germany,Netherlands,2,3,Friendly,Leipzig,Germany,False,Netherlands,visitante,5
346,1912,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,False,Argentina,visitante,4
347,1912,Catalonia,France,1,0,Friendly,Barcelona,Spain,False,Catalonia,casa,1
348,1912,Italy,Austria,1,3,Friendly,Genoa,Italy,False,Austria,visitante,4
349,1913,France,Italy,1,0,Friendly,Saint-Ouen,France,False,France,casa,1
350,1913,Northern Ireland,Wales,0,1,British Home Championship,Belfast,Ireland,False,Wales,visitante,1
351,1913,Northern Ireland,England,2,1,British Home Championship,Belfast,Ireland,False,Northern Ireland,casa,3
352,1913,Belgium,France,3,0,Friendly,Brussels,Belgium,False,Belgium,casa,3
355,1913,Switzerland,France,1,4,Friendly,Geneva,Switzerland,False,France,visitante,5
356,1913,Northern Ireland,Scotland,1,2,British Home Championship,Dublin,Ireland,False,Scotland,visitante,3
